,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7
EigenValue,5.683398529191184,2.3463631239347795,1.8890576296166335,1.1206588387096144,1.0376926808826767,0.6800030003921974,0.6211962772222285,0.5495790014972637
Proportion,37.69987691030149,15.564208722100695,12.530748943123662,7.433703630107104,6.8833614498550855,4.51068656926824,4.12060197224078,3.6455407099318466
Cumulative,37.69987691030149,53.264085632402185,65.79483457552584,73.22853820563294,80.11189965548803,84.62258622475628,88.74318819699705,92.3887289069289

WMC,-0.4914671961374248,-0.026323716228195015,-0.0035908290881573315,-0.023322055718813482,0.1480244228132414,-0.019125150191707324,0.005673875716350761,-0.0036272998826214057
DIT,0.002185118161392405,-0.0398286225945573,-0.7181191225683518,0.004113621691248228,0.007710783674433768,0.016431065174401186,0.0018015472815407479,-0.021017859885892286
NOC,-0.006349314084331751,0.016974649253109618,-0.0033568602030901286,-0.9784377005596477,0.022032251534784317,0.030155681189388283,-0.007250632819813027,-0.011290972040399307
CBO,0.003896204057398159,-0.03245220111922294,0.0028982934400922783,-0.036679194017091195,-0.03488434183972913,0.9337434570219781,0.008490584147522734,0.01765357328585148
RFC,-0.13710664521617544,0.23458449875026546,-0.04713538169070695,0.09910029338927186,0.28429770351301903,0.20810745398989194,-0.1325535262938457,-0.09215011625327241
LCOM,-0.6359892208424434,-0.0015515861324148928,0.03638063634060751,-0.03632036601793837,-0.19868598676068233,0.026655339084913788,0.03428321583617874,0.021821964451158214
NPM,-0.5387034413155982,-0.05023451717000111,-0.02186285132942677,0.03799947807866346,0.08196707913713841,-0.048396299219713584,0.01904860626922224,0.039739276332061556
DAM,0.011693063136783048,-0.016867731070921353,0.004606962872004938,-0.011258375286149537,-0.01576979802796992,-0.014642297818087036,0.01635162853329374,-0.9807665663251657
MOA,-0.014044163970843047,0.016271420826174242,-0.004310503258234651,0.00787505421712646,0.01615417378317108,0.007672846868887472,0.9604463320596619,-0.017780127253479276
MFA,0.013431132089052339,0.029399943453486874,-0.6893564765754004,-0.014096766222462427,-0.025924284845587096,-0.024823546697803175,0.008952916519396621,0.03679893655213099
CAM,-0.12069044831617143,-0.028003911476113263,-0.029747412430123257,-0.0739312325899973,-0.5549048766787075,-0.17350977586152613,-0.13930979021355727,-0.052114091810336535
MAX_CC,-0.03627773044934794,0.6163181029770387,-0.026018617244692815,-0.022048807553734198,-0.05628082238266694,-0.04895427541202365,0.12977895704281706,-0.015941102092387156
AVG_CC,0.08791828206260098,0.6614201467774842,0.04517590615260259,-0.04943752893401955,-0.06849380358361587,-0.059036795794088895,-0.032597413492734706,0.0851458674167732
LOC,-0.14405903482470309,0.3257666112888985,-0.03650706243428618,0.07495647992733741,0.25473319020351964,0.06352100414200292,-0.14306516600140293,-0.11771345915433531
VD,0.006209497196091152,-0.11479243290145888,0.007837252152842512,-0.117334814457227,0.6837090054817365,-0.19825417080449578,-0.012106138023498692,0.030154247419981933

,METRICS,PC_MAX
PC0,LCOM,-0.6359892208424434
PC1,AVG_CC,0.6614201467774842
PC2,DIT,-0.7181191225683518
PC3,NOC,-0.9784377005596477
PC4,vd,0.6837090054817365
PC5,CBO,0.9337434570219781
PC6,MOA,0.9604463320596619
PC7,DAM,-0.9807665663251657
