,PC0,PC1,PC2,PC3,PC4,PC5,PC6
EigenValue,6.280943419492581,2.002397163371766,1.7108458244729046,1.3850328899281794,0.9852694403231137,0.7270220695725442,0.4909220566950347
Proportion,41.74490427634212,13.308490830972389,11.370759200370374,9.205315435608286,6.548375892871254,4.8319917366085505,3.2628051066785178
Cumulative,41.74490427634212,55.05339510731451,66.42415430768489,75.62946974329317,82.17784563616442,87.00983737277298,90.27264247945149

WMC,-0.4466682445147408,-0.023205645661865892,-0.00017096477088966087,0.0535865214104043,-0.035956169962687294,0.18326493340171282,0.001916448623710005
DIT,0.0003006681119907627,-0.6956432180692641,0.0013670357831658132,0.04570888911218503,0.013436321217790754,0.08449797304351199,0.0019237761841053626
NOC,-0.0026334523597129423,0.0030390680566797596,0.001519819621520087,-0.004107735326695153,-0.9958144856183333,-0.001453799724399064,0.0035180384451310265
CBO,0.01697560781274391,-0.007568739585480894,0.01803958153403865,0.06578649302807091,-0.00455163231482345,-0.009245689574366783,0.9320930299052415
RFC,-0.27053622073474604,-0.10168525923614943,-0.2808789222710306,-0.07638633046090199,-0.005737600750725667,0.03112099300709412,0.0691054518626362
LCOM,-0.5716006854008774,0.029586492571091205,0.06552499390664646,0.09922829274173649,-0.030006680035886576,-0.11784892375253289,-0.11610698412523393
NPM,-0.46366264888122516,0.0008840094970290423,0.09907907807191066,0.07764602219697207,0.04994316530901328,0.21181059456544948,0.008512338237185809
DAM,0.06430030933022568,-0.027566013135042883,0.023936757681524184,-0.8493832499965762,-0.012095797807216166,0.06985802508441755,-0.10685878522705305
MOA,-0.3155975294090227,0.12471919777892261,0.010155878217416236,-0.43082899918342216,0.04322515385346237,-0.36473683294841097,0.18767471586308807
MFA,0.012254676684457236,-0.6848687111304922,0.024613777630925513,-0.07137921786478994,-0.0044258425269016605,-0.10718546751119021,0.013466535123108764
CAM,-0.06599101487990243,-0.054617688244361404,0.10123994281306153,0.19651188512762555,0.00679978160226107,-0.47678397209436935,-0.233439473259732
MAX_CC,0.02366998005823484,-0.04028025233297791,-0.6072539973830944,-0.028815594996189034,-0.022586567852463522,-0.046686861517512,0.025371108327032137
AVG_CC,0.09723342542206999,0.09430438488086593,-0.6259923976323144,0.10798819505773238,0.02684587175132828,0.03108242106644296,-0.08826626008321595
LOC,-0.25317919844019504,-0.07212799898529464,-0.3648054891909102,-0.05911975474515756,0.0029108664319218457,-0.03396861857275897,0.012300205575203707
VD,-0.05418860921327625,0.014077810406732946,0.0377993338655521,-0.047117256505503954,0.010578134830446473,0.7200287625969224,-0.05433344377880625

,METRICS,PC_MAX
PC0,LCOM,-0.5716006854008774
PC1,DIT,-0.6956432180692641
PC2,AVG_CC,-0.6259923976323144
PC3,DAM,-0.8493832499965762
PC4,NOC,-0.9958144856183333
PC5,vd,0.7200287625969224
PC6,CBO,0.9320930299052415
